Transaction Date,Deposited In,Receipt Mode,Cheque No/Reference/UTR #,Date,Drawn on which Bank?,Branch of Bank,Member Name,Wing,Flat,Receipt Type,Amount,Narration 
31-01-2015,SBI,cheque,34441,31-01-2015,Allahabad Bank,Sec-34,Anupam Tagore,A,101,M,31000,31 Receipt for jan
01-02-2015,SBI,neft,35552,01-02-2015,Allahabad Bank,Sec-35,B L Naik,A,102,O,32000,32 Receipt for jan
02-02-2015,SBI,pg,36663,02-02-2015,Allahabad Bank,Sec-36,B L Naik,A,103,M,33000,33 Receipt for jan
03-02-2015,SBI,cheque,37774,03-02-2015,Allahabad Bank,Sec-37,Anupam Tagore,A,104,M,34000,34 Receipt for jan
04-02-2015,SBI,neft,38885,04-02-2015,Allahabad Bank,Sec-38,B L Naik,A,105,O,35000,35 Receipt for jan
05-02-2015,SBI,pg,39996,05-02-2015,Allahabad Bank,Sec-39,B L Naik,B,201,M,36000,36 Receipt for jan
06-02-2015,SBI,cheque,41107,06-02-2015,Allahabad Bank,Sec-40,Anupam Tagore,A,101,M,37000,37 Receipt for jan
07-02-2015,SBI,neft,42218,07-02-2015,Allahabad Bank,Sec-41,B L Naik,A,102,O,38000,38 Receipt for jan
08-02-2015,SBI,pg,43329,08-02-2015,Allahabad Bank,Sec-42,B L Naik,A,103,M,39000,39 Receipt for jan
09-02-2015,SBI,cheque,44440,09-02-2015,Allahabad Bank,Sec-43,Anupam Tagore,A,104,M,40000,40 Receipt for jan
10-02-2015,SBI,neft,45551,10-02-2015,Allahabad Bank,Sec-44,B L Naik,A,105,O,41000,41 Receipt for jan
11-02-2015,SBI,pg,46662,11-02-2015,Allahabad Bank,Sec-45,B L Naik,B,201,M,42000,42 Receipt for jan
12-02-2015,SBI,cheque,47773,12-02-2015,Allahabad Bank,Sec-46,Anupam Tagore,A,101,M,43000,43 Receipt for jan
13-02-2015,SBI,neft,48884,13-02-2015,Allahabad Bank,Sec-47,B L Naik,A,102,O,44000,44 Receipt for jan
14-02-2015,SBI,pg,49995,14-02-2015,Allahabad Bank,Sec-48,B L Naik,A,103,M,45000,45 Receipt for jan
15-02-2015,SBI,,51106,15-02-2015,Allahabad Bank,Sec-49,Anupam Tagore,A,104,M,46000,46 Receipt for jan
16-02-2015,SBI,neft,52217,16-02-2015,Allahabad Bank,Sec-50,B L Naik,A,105,O,47000,47 Receipt for jan
17-02-2015,SBI,pg,53328,17-02-2015,Allahabad Bank,Sec-51,B L Naik,B,201,M,sfsdf,48 Receipt for jan
18-02-2015,SBI,cheque,54439,18-02-2015,Allahabad Bank,Sec-52,Anupam Tagore,B,201,M,49000,49 Receipt for jan
