Group Name,A/c name,wing,unit,Debit,Credit,Penalty 
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Fixed Assets,Building,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Computers,,,,,
Fixed Assets,Furniture & Fixtures,,,,,
Fixed Assets,Gym Equipments,,,,,
Fixed Assets,Income & Expenditure A/c,,,,,
Fixed Assets,Land,,,,,
Fixed Assets,Office Equipments,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Power Back up & Generator,,,,,
Fixed Assets,Surveillance & Security Systems,,,,,
Fixed Assets,Vehicles,,,,,
Investments,Deposits with Electricity Cos,,,,,
Investments,Deposits with Water Supply Cos,,,,,
Investments,Fixed Deposits,,,,,
Investments,Mutual Funds,,,,,
Investments,Shares of Federation,,,,,
Other Income,Advertising Income,,,,,
Other Income,Income from Advertising & events,,,,,
Other Income,Interest from  Fixed deposits,,,,,
Other Income,Interest from saving bank accounts,,,,,
Other Income,Miscellaneous income,,,,,
Other Income,Mobile tower rent,,,,,
Repairs & Maintenance,Building R&M,,,,,
Repairs & Maintenance,Club / Recreation Center expenses,,,,,
Repairs & Maintenance,Electrical R&M,,,,,
Repairs & Maintenance,Fire & Safety expenses,,,,,
Repairs & Maintenance,Garden / Lawn expenses,,,,,
Repairs & Maintenance,General Repairs & Maintenance,,,,,
Repairs & Maintenance,Gymnasium R&M,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Plumbing - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Security charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Reserve & Surplus,Entrance Fees (Reserves),,,,,
Reserve & Surplus,Major Repairs Fund (Reserves),,,,,
Reserve & Surplus,Membership premium (Reserves),,,,,
Reserve & Surplus,Reserve Fund Seed Money,,,,,
Reserve & Surplus,Sinking Fund (Reserves),,,,,
Reserve & Surplus,Transfer Charges (Reserves),,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Taxes & Utilities,Property Tax,,,,,
Taxes & Utilities,Water charges,,,,,
Members Control Accounts,Testing user1,Wing AA,1001,100,,100
Members Control Accounts,Testing user2,Wing AA,1002,100,,100
Members Control Accounts,Testing user3,Wing AA,1003,100,,100
Members Control Accounts,Testing user4,Wing AA,1004,100,,100
Members Control Accounts,Testing user5,Wing AA,1005,100,,100
Members Control Accounts,Testing user6,Wing AA,1006,100,,100
Members Control Accounts,Testing user7,Wing AA,1007,100,,100
Members Control Accounts,Testing user8,Wing AA,1008,100,,100
Members Control Accounts,Testing user9,Wing AA,1009,100,,100
Members Control Accounts,Testing user10,Wing AA,1010,100,,100
Members Control Accounts,Testing user11,Wing AA,1011,100,,100
Members Control Accounts,Testing user12,Wing AA,1012,100,,100
Members Control Accounts,Testing user13,Wing AA,1013,100,,100
Members Control Accounts,Testing user14,Wing AA,1014,100,,100
Members Control Accounts,Testing user15,Wing AA,1015,100,,100
Members Control Accounts,Testing user16,Wing AA,1016,100,,100
Members Control Accounts,Testing user17,Wing AA,1017,100,,100
Members Control Accounts,Testing user18,Wing AA,1018,100,,100
Members Control Accounts,Testing user19,Wing AA,1019,100,,100
Members Control Accounts,Testing user20,Wing AA,1020,100,,100
Members Control Accounts,Testing user21,Wing AA,1021,100,,100
Members Control Accounts,Testing user22,Wing AA,1022,100,,100
Members Control Accounts,Testing user23,Wing AA,1023,100,,100
Members Control Accounts,Testing user24,Wing AA,1024,100,,100
Members Control Accounts,Testing user25,Wing AA,1025,100,,100
Members Control Accounts,Testing user26,Wing AA,1026,100,,100
Members Control Accounts,Testing user27,Wing AA,1027,100,,100
Members Control Accounts,Testing user28,Wing AA,1028,100,,100
Members Control Accounts,Testing user29,Wing AA,1029,100,,100
Members Control Accounts,Testing user30,Wing AA,1030,100,,100
Members Control Accounts,Testing user31,Wing AA,1031,100,,100
Members Control Accounts,Testing user32,Wing AA,1032,100,,100
Members Control Accounts,Testing user33,Wing AA,1033,100,,100
Members Control Accounts,Testing user34,Wing AA,1034,100,,100
Members Control Accounts,Testing user35,Wing AA,1035,100,,100
Members Control Accounts,Testing user36,Wing AA,1036,100,,100
Members Control Accounts,Testing user37,Wing AA,1037,100,,100
Members Control Accounts,Testing user38,Wing AA,1038,100,,100
Members Control Accounts,Testing user39,Wing AA,1039,100,,100
Members Control Accounts,Testing user40,Wing AA,1040,100,,100
Members Control Accounts,Testing user41,Wing AA,1041,100,,100
Members Control Accounts,Testing user42,Wing AA,1042,100,,100
Members Control Accounts,Testing user43,Wing AA,1043,100,,100
Members Control Accounts,Testing user44,Wing AA,1044,100,,100
Members Control Accounts,Testing user45,Wing AA,1045,100,,100
Members Control Accounts,Testing user46,Wing AA,1046,100,,100
Members Control Accounts,Testing user47,Wing AA,1047,100,,100
Members Control Accounts,Testing user48,Wing AA,1048,100,,100
Members Control Accounts,Testing user49,Wing AA,1049,100,,100
Members Control Accounts,Testing user50,Wing AA,1050,100,,100
Members Control Accounts,Testing user51,Wing AA,1051,100,,100
Members Control Accounts,Testing user52,Wing AA,1052,100,,100
Members Control Accounts,Testing user53,Wing AA,1053,100,,100
Members Control Accounts,Testing user54,Wing AA,1054,100,,100
Members Control Accounts,Testing user55,Wing AA,1055,100,,100
Members Control Accounts,Testing user56,Wing AA,1056,100,,100
Members Control Accounts,Testing user57,Wing AA,1057,100,,100
Members Control Accounts,Testing user58,Wing AA,1058,100,,100
Members Control Accounts,Testing user59,Wing AA,1059,100,,100
Members Control Accounts,Testing user60,Wing AA,1060,100,,100
Members Control Accounts,Testing user61,Wing AA,1061,100,,100
Members Control Accounts,Testing user62,Wing AA,1062,100,,100
Members Control Accounts,Testing user63,Wing AA,1063,100,,100
Members Control Accounts,Testing user64,Wing AA,1064,100,,100
Members Control Accounts,Testing user65,Wing AA,1065,100,,100
Members Control Accounts,Testing user66,Wing AA,1066,100,,100
Members Control Accounts,Testing user67,Wing AA,1067,100,,100
Members Control Accounts,Testing user68,Wing AA,1068,100,,100
Members Control Accounts,Testing user69,Wing AA,1069,100,,100
Members Control Accounts,Testing user70,Wing AA,1070,100,,100
Members Control Accounts,Testing user71,Wing AA,1071,100,,100
Members Control Accounts,Testing user72,Wing AA,1072,100,,100
Members Control Accounts,Testing user73,Wing AA,1073,100,,100
Members Control Accounts,Testing user74,Wing AA,1074,100,,100
Members Control Accounts,Testing user75,Wing AA,1075,100,,100
Members Control Accounts,Testing user76,Wing AA,1076,100,,100
Members Control Accounts,Testing user77,Wing AA,1077,100,,100
Members Control Accounts,Testing user78,Wing AA,1078,100,,100
Members Control Accounts,Testing user79,Wing AA,1079,100,,100
Members Control Accounts,Testing user80,Wing AA,1080,100,,100
Members Control Accounts,Testing user81,Wing AA,1081,100,,100
Members Control Accounts,Testing user82,Wing AA,1082,100,,100
Members Control Accounts,Testing user83,Wing AA,1083,100,,100
Members Control Accounts,Testing user84,Wing AA,1084,100,,100
Members Control Accounts,Testing user85,Wing AA,1085,100,,100
Members Control Accounts,Testing user86,Wing AA,1086,100,,100
Members Control Accounts,Testing user87,Wing AA,1087,100,,100
Members Control Accounts,Testing user88,Wing AA,1088,100,,100
Members Control Accounts,Testing user89,Wing AA,1089,100,,100
Members Control Accounts,Testing user90,Wing AA,1090,100,,100
Members Control Accounts,Testing user91,Wing AA,1091,100,,100
Members Control Accounts,Testing user92,Wing AA,1092,100,,100
Members Control Accounts,Testing user93,Wing AA,1093,100,,100
Members Control Accounts,Testing user94,Wing AA,1094,100,,100
Members Control Accounts,Testing user95,Wing AA,1095,100,,100
Members Control Accounts,Testing user96,Wing AA,1096,100,,100
Members Control Accounts,Testing user97,Wing AA,1097,100,,100
Members Control Accounts,Testing user98,Wing AA,1098,100,,100
Members Control Accounts,Testing user99,Wing AA,1099,100,,100
Members Control Accounts,Testing user100,Wing AA,1100,100,,100
Members Control Accounts,Testing user101,Wing BB,1101,100,,100
Members Control Accounts,Testing user102,Wing BB,1102,100,,100
Members Control Accounts,Testing user103,Wing BB,1103,100,,100
Members Control Accounts,Testing user104,Wing BB,1104,100,,100
Members Control Accounts,Testing user105,Wing BB,1105,100,,100
Members Control Accounts,Testing user106,Wing BB,1106,100,,100
Members Control Accounts,Testing user107,Wing BB,1107,100,,100
Members Control Accounts,Testing user108,Wing BB,1108,100,,100
Members Control Accounts,Testing user109,Wing BB,1109,100,,100
Members Control Accounts,Testing user110,Wing BB,1110,100,,100
Members Control Accounts,Testing user111,Wing BB,1111,100,,100
Members Control Accounts,Testing user112,Wing BB,1112,100,,100
Members Control Accounts,Testing user113,Wing BB,1113,100,,100
Members Control Accounts,Testing user114,Wing BB,1114,100,,100
Members Control Accounts,Testing user115,Wing BB,1115,100,,100
Members Control Accounts,Testing user116,Wing BB,1116,100,,100
Members Control Accounts,Testing user117,Wing BB,1117,100,,100
Members Control Accounts,Testing user118,Wing BB,1118,100,,100
Members Control Accounts,Testing user119,Wing BB,1119,100,,100
Members Control Accounts,Testing user120,Wing BB,1120,100,,100
Members Control Accounts,Testing user121,Wing BB,1121,100,,100
Members Control Accounts,Testing user122,Wing BB,1122,100,,100
Members Control Accounts,Testing user123,Wing BB,1123,100,,100
Members Control Accounts,Testing user124,Wing BB,1124,100,,100
Members Control Accounts,Testing user125,Wing BB,1125,100,,100
Members Control Accounts,Testing user126,Wing BB,1126,100,,100
Members Control Accounts,Testing user127,Wing BB,1127,100,,100
Members Control Accounts,Testing user128,Wing BB,1128,100,,100
Members Control Accounts,Testing user129,Wing BB,1129,100,,100
Members Control Accounts,Testing user130,Wing BB,1130,100,,100
Members Control Accounts,Testing user131,Wing BB,1131,100,,100
Members Control Accounts,Testing user132,Wing BB,1132,100,,100
Members Control Accounts,Testing user133,Wing BB,1133,100,,100
Members Control Accounts,Testing user134,Wing BB,1134,100,,100
Members Control Accounts,Testing user135,Wing BB,1135,100,,100
Members Control Accounts,Testing user136,Wing BB,1136,100,,100
Members Control Accounts,Testing user137,Wing BB,1137,100,,100
Members Control Accounts,Testing user138,Wing BB,1138,100,,100
Members Control Accounts,Testing user139,Wing BB,1139,100,,100
Members Control Accounts,Testing user140,Wing BB,1140,100,,100
Members Control Accounts,Testing user141,Wing BB,1141,100,,100
Members Control Accounts,Testing user142,Wing BB,1142,100,,100
Members Control Accounts,Testing user143,Wing BB,1143,100,,100
Members Control Accounts,Testing user144,Wing BB,1144,100,,100
Members Control Accounts,Testing user145,Wing BB,1145,100,,100
Members Control Accounts,Testing user146,Wing BB,1146,100,,100
Members Control Accounts,Testing user147,Wing BB,1147,100,,100
Members Control Accounts,Testing user148,Wing BB,1148,100,,100
Members Control Accounts,Testing user149,Wing BB,1149,100,,100
Members Control Accounts,Testing user150,Wing BB,1150,100,,100
Members Control Accounts,Testing user151,Wing BB,1151,100,,100
Members Control Accounts,Testing user152,Wing BB,1152,100,,100
Members Control Accounts,Testing user153,Wing BB,1153,100,,100
Members Control Accounts,Testing user154,Wing BB,1154,100,,100
Members Control Accounts,Testing user155,Wing BB,1155,100,,100
Members Control Accounts,Testing user156,Wing BB,1156,100,,100
Members Control Accounts,Testing user157,Wing BB,1157,100,,100
Members Control Accounts,Testing user158,Wing BB,1158,100,,100
Members Control Accounts,Testing user159,Wing BB,1159,100,,100
Members Control Accounts,Testing user160,Wing BB,1160,100,,100
Members Control Accounts,Testing user161,Wing BB,1161,100,,100
Members Control Accounts,Testing user162,Wing BB,1162,100,,100
Members Control Accounts,Testing user163,Wing BB,1163,100,,100
Members Control Accounts,Testing user164,Wing BB,1164,100,,100
Members Control Accounts,Testing user165,Wing BB,1165,100,,100
Members Control Accounts,Testing user166,Wing BB,1166,100,,100
Members Control Accounts,Testing user167,Wing BB,1167,100,,100
Members Control Accounts,Testing user168,Wing BB,1168,100,,100
Members Control Accounts,Testing user169,Wing BB,1169,100,,100
Members Control Accounts,Testing user170,Wing BB,1170,100,,100
Members Control Accounts,Testing user171,Wing BB,1171,100,,100
Members Control Accounts,Testing user172,Wing BB,1172,100,,100
Members Control Accounts,Testing user173,Wing BB,1173,100,,100
Members Control Accounts,Testing user174,Wing BB,1174,100,,100
Members Control Accounts,Testing user175,Wing BB,1175,100,,100
Members Control Accounts,Testing user176,Wing BB,1176,100,,100
Members Control Accounts,Testing user177,Wing BB,1177,100,,100
Members Control Accounts,Testing user178,Wing BB,1178,100,,100
Members Control Accounts,Testing user179,Wing BB,1179,100,,100
Members Control Accounts,Testing user180,Wing BB,1180,100,,100
Members Control Accounts,Testing user181,Wing BB,1181,100,,100
Members Control Accounts,Testing user182,Wing BB,1182,100,,100
Members Control Accounts,Testing user183,Wing BB,1183,100,,100
Members Control Accounts,Testing user184,Wing BB,1184,100,,100
Members Control Accounts,Testing user185,Wing BB,1185,100,,100
Members Control Accounts,Testing user186,Wing BB,1186,100,,100
Members Control Accounts,Testing user187,Wing BB,1187,100,,100
Members Control Accounts,Testing user188,Wing BB,1188,100,,100
Members Control Accounts,Testing user189,Wing BB,1189,100,,100
Members Control Accounts,Testing user190,Wing BB,1190,100,,100
Members Control Accounts,Testing user191,Wing BB,1191,100,,100
Members Control Accounts,Testing user192,Wing BB,1192,100,,100
Members Control Accounts,Testing user193,Wing BB,1193,100,,100
Members Control Accounts,Testing user194,Wing BB,1194,100,,100
Members Control Accounts,Testing user195,Wing BB,1195,100,,100
Members Control Accounts,Testing user196,Wing BB,1196,100,,100
Members Control Accounts,Testing user197,Wing BB,1197,100,,100
Members Control Accounts,Testing user198,Wing BB,1198,100,,100
Members Control Accounts,Testing user199,Wing BB,1199,100,,100
Members Control Accounts,Testing user200,Wing BB,1200,,39800,
