Group Name,A/c name,wing,unit,Debit,Credit,Penalty 
Current Liabilities,Advance from Members,,,,,
Current Liabilities,Advances & Security Deposits taken,,,,,
Current Liabilities,Contribution for Conveyance Deed,,,,,
Current Liabilities,Provisions,,,,,
Current Liabilities,Retention A/c,,,,,
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Fixed Assets,Building,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Computers,,,,,
Fixed Assets,Furniture & Fixtures,,,,,
Fixed Assets,Gym Equipments,,,,,
Fixed Assets,Income & Expenditure A/c,,,,,
Fixed Assets,Land,,,,,
Fixed Assets,Office Equipments,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Power Back up & Generator,,,,,
Fixed Assets,Printer,,,,,
Fixed Assets,Surveillance & Security Systems,,,,,
Fixed Assets,Vehicles,,,,,
Investments,Deposits with Electricity Cos,,,,,
Investments,Deposits with Water Supply Cos,,,,,
Investments,Fixed Deposits,,,,,
Investments,Mutual Funds,,,,,
Investments,Shares of Federation,,,,,
Other Income,Advertising Income,,,,,
Other Income,Income from Advertising & events,,,,,
Other Income,Interest from  Fixed deposits,,,,,
Other Income,Interest from saving bank accounts,,,,,
Other Income,Miscellaneous income,,,,,
Other Income,Mobile tower rent,,,,,
Repairs & Maintenance,Building R&M,,,,,
Repairs & Maintenance,Club / Recreation Center expenses,,,,,
Repairs & Maintenance,Electrical R&M,,,,,
Repairs & Maintenance,Fire & Safety expenses,,,,,
Repairs & Maintenance,Garden / Lawn expenses,,,,,
Repairs & Maintenance,General Repairs & Maintenance,,,,,
Repairs & Maintenance,Gymnasium R&M,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Plumbing - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Security charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Reserve & Surplus,Entrance Fees (Reserves),,,,,
Reserve & Surplus,Major Repairs Fund (Reserves),,,,,
Reserve & Surplus,Membership premium (Reserves),,,,,
Reserve & Surplus,Reserve Fund Seed Money,,,,,
Reserve & Surplus,Sinking Fund (Reserves),,,,,
Reserve & Surplus,Transfer Charges (Reserves),,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Taxes & Utilities,Property Tax,,,,,
Taxes & Utilities,Water charges,,,,,
Members Control Accounts,test user1,Wing A,101,100,,100
Members Control Accounts,test user2,Wing A,102,100,,100
Members Control Accounts,test user3,Wing A,103,100,,100
Members Control Accounts,test user4,Wing A,104,100,,100
Members Control Accounts,test user5,Wing A,105,100,,100
Members Control Accounts,test user6,Wing A,106,100,,100
Members Control Accounts,test user7,Wing A,107,100,,100
Members Control Accounts,test user8,Wing A,108,100,,100
Members Control Accounts,test user9,Wing A,109,100,,100
Members Control Accounts,test user10,Wing A,110,100,,100
Members Control Accounts,test user11,Wing A,111,100,,100
Members Control Accounts,test user12,Wing A,112,100,,100
Members Control Accounts,test user13,Wing A,113,100,,100
Members Control Accounts,test user14,Wing A,114,100,,100
Members Control Accounts,test user15,Wing A,115,100,,100
Members Control Accounts,test user16,Wing A,116,100,,100
Members Control Accounts,test user17,Wing A,117,100,,100
Members Control Accounts,test user18,Wing A,118,100,,100
Members Control Accounts,test user19,Wing A,119,100,,100
Members Control Accounts,test user20,Wing A,120,100,,100
Members Control Accounts,test user21,Wing A,121,100,,100
Members Control Accounts,test user22,Wing A,122,100,,100
Members Control Accounts,test user23,Wing A,123,100,,100
Members Control Accounts,test user24,Wing A,124,100,,100
Members Control Accounts,test user25,Wing A,125,100,,100
Members Control Accounts,test user26,Wing A,126,100,,100
Members Control Accounts,test user27,Wing A,127,100,,100
Members Control Accounts,test user28,Wing A,128,100,,100
Members Control Accounts,test user29,Wing A,129,100,,100
Members Control Accounts,test user30,Wing A,130,100,,100
Members Control Accounts,test user31,Wing A,131,100,,100
Members Control Accounts,test user32,Wing A,132,100,,100
Members Control Accounts,test user33,Wing A,133,100,,100
Members Control Accounts,test user34,Wing A,134,100,,100
Members Control Accounts,test user35,Wing A,135,100,,100
Members Control Accounts,test user36,Wing A,136,100,,100
Members Control Accounts,test user37,Wing A,137,100,,100
Members Control Accounts,test user38,Wing A,138,100,,100
Members Control Accounts,test user39,Wing A,139,100,,100
Members Control Accounts,test user40,Wing A,140,100,,100
Members Control Accounts,test user41,Wing A,141,100,,100
Members Control Accounts,test user42,Wing A,142,100,,100
Members Control Accounts,test user43,Wing A,143,100,,100
Members Control Accounts,test user44,Wing A,144,100,,100
Members Control Accounts,test user45,Wing A,145,100,,100
Members Control Accounts,test user46,Wing A,146,100,,100
Members Control Accounts,test user47,Wing A,147,100,,100
Members Control Accounts,test user48,Wing A,148,100,,100
Members Control Accounts,test user49,Wing A,149,100,,100
Members Control Accounts,test user50,Wing A,150,100,,100
Members Control Accounts,test user51,Wing A,151,100,,100
Members Control Accounts,test user52,Wing A,152,100,,100
Members Control Accounts,test user53,Wing A,153,100,,100
Members Control Accounts,test user54,Wing A,154,100,,100
Members Control Accounts,test user55,Wing A,155,100,,100
Members Control Accounts,test user56,Wing A,156,100,,100
Members Control Accounts,test user57,Wing A,157,100,,100
Members Control Accounts,test user58,Wing A,158,100,,100
Members Control Accounts,test user59,Wing A,159,100,,100
Members Control Accounts,test user60,Wing A,160,100,,100
Members Control Accounts,test user61,Wing A,161,100,,100
Members Control Accounts,test user62,Wing A,162,100,,100
Members Control Accounts,test user63,Wing A,163,100,,100
Members Control Accounts,test user64,Wing A,164,100,,100
Members Control Accounts,test user65,Wing A,165,100,,100
Members Control Accounts,test user66,Wing A,166,100,,100
Members Control Accounts,test user67,Wing A,167,100,,100
Members Control Accounts,test user68,Wing A,168,100,,100
Members Control Accounts,test user69,Wing A,169,100,,100
Members Control Accounts,test user70,Wing A,170,100,,100
Members Control Accounts,test user71,Wing A,171,100,,100
Members Control Accounts,test user72,Wing A,172,100,,100
Members Control Accounts,test user73,Wing A,173,100,,100
Members Control Accounts,test user74,Wing A,174,100,,100
Members Control Accounts,test user75,Wing A,175,100,,100
Members Control Accounts,test user76,Wing A,176,100,,100
Members Control Accounts,test user77,Wing A,177,100,,100
Members Control Accounts,test user78,Wing A,178,100,,100
Members Control Accounts,test user79,Wing A,179,100,,100
Members Control Accounts,test user80,Wing A,180,100,,100
Members Control Accounts,test user81,Wing A,181,100,,100
Members Control Accounts,test user82,Wing A,182,100,,100
Members Control Accounts,test user83,Wing A,183,100,,100
Members Control Accounts,test user84,Wing A,184,100,,100
Members Control Accounts,test user85,Wing A,185,100,,100
Members Control Accounts,test user86,Wing A,186,100,,100
Members Control Accounts,test user87,Wing A,187,100,,100
Members Control Accounts,test user88,Wing A,188,100,,100
Members Control Accounts,test user89,Wing A,189,100,,100
Members Control Accounts,test user90,Wing A,190,100,,100
Members Control Accounts,test user91,Wing A,191,100,,100
Members Control Accounts,test user92,Wing A,192,100,,100
Members Control Accounts,test user93,Wing A,193,100,,100
Members Control Accounts,test user94,Wing A,194,100,,100
Members Control Accounts,test user95,Wing A,195,100,,100
Members Control Accounts,test user96,Wing A,196,100,,100
Members Control Accounts,test user97,Wing A,197,100,,100
Members Control Accounts,test user98,Wing A,198,100,,100
Members Control Accounts,test user99,Wing A,199,100,,100
Members Control Accounts,test user 101,Wing B,201,100,,100
Members Control Accounts,test user102,Wing B,202,100,,100
Members Control Accounts,test user103,Wing B,203,100,,100
Members Control Accounts,test user104,Wing B,204,100,,100
Members Control Accounts,test user105,Wing B,205,100,,100
Members Control Accounts,test user106,Wing B,206,100,,100
Members Control Accounts,test user107,Wing B,207,100,,100
Members Control Accounts,test user108,Wing B,208,100,,100
Members Control Accounts,test user109,Wing B,209,100,,100
Members Control Accounts,test user110,Wing B,210,100,,100
Members Control Accounts,test user111,Wing B,211,100,,100
Members Control Accounts,test user112,Wing B,212,100,,100
Members Control Accounts,test user113,Wing B,213,100,,100
Members Control Accounts,test user114,Wing B,214,100,,100
Members Control Accounts,test user115,Wing B,215,100,,100
Members Control Accounts,test user116,Wing B,216,100,,100
Members Control Accounts,test user117,Wing B,217,100,,100
Members Control Accounts,test user118,Wing B,218,100,,100
Members Control Accounts,test user119,Wing B,219,100,,100
Members Control Accounts,test user120,Wing B,220,100,,100
Members Control Accounts,test user121,Wing B,221,100,,100
Members Control Accounts,test user122,Wing B,222,100,,100
Members Control Accounts,test user123,Wing B,223,100,,100
Members Control Accounts,test user124,Wing B,224,100,,100
Members Control Accounts,test user125,Wing B,225,100,,100
Members Control Accounts,test user126,Wing B,226,100,,100
Members Control Accounts,test user127,Wing B,227,100,,100
Members Control Accounts,test user128,Wing B,228,100,,100
Members Control Accounts,test user129,Wing B,229,100,,100
Members Control Accounts,test user130,Wing B,230,100,,100
Members Control Accounts,test user131,Wing B,231,100,,100
Members Control Accounts,test user132,Wing B,232,100,,100
Members Control Accounts,test user133,Wing B,233,100,,100
Members Control Accounts,test user134,Wing B,234,100,,100
Members Control Accounts,test user135,Wing B,235,100,,100
Members Control Accounts,test user136,Wing B,236,100,,100
Members Control Accounts,test user137,Wing B,237,100,,100
Members Control Accounts,test user138,Wing B,238,100,,100
Members Control Accounts,test user139,Wing B,239,100,,100
Members Control Accounts,test user140,Wing B,240,100,,100
Members Control Accounts,test user141,Wing B,241,100,,100
Members Control Accounts,test user142,Wing B,242,100,,100
Members Control Accounts,test user143,Wing B,243,100,,100
Members Control Accounts,test user144,Wing B,244,100,,100
Members Control Accounts,test user145,Wing B,245,100,,100
Members Control Accounts,test user146,Wing B,246,100,,100
Members Control Accounts,test user147,Wing B,247,100,,100
Members Control Accounts,test user148,Wing B,248,100,,100
Members Control Accounts,test user149,Wing B,249,100,,100
Members Control Accounts,test user150,Wing B,250,100,,100
Members Control Accounts,test user151,Wing B,251,100,,100
Members Control Accounts,test user152,Wing B,252,100,,100
Members Control Accounts,test user153,Wing B,253,100,,100
Members Control Accounts,test user154,Wing B,254,100,,100
Members Control Accounts,test user155,Wing B,255,100,,100
Members Control Accounts,test user156,Wing B,256,100,,100
Members Control Accounts,test user157,Wing B,257,100,,100
Members Control Accounts,test user158,Wing B,258,100,,100
Members Control Accounts,test user159,Wing B,259,100,,100
Members Control Accounts,test user160,Wing B,260,100,,100
Members Control Accounts,test user161,Wing B,261,100,,100
Members Control Accounts,test user162,Wing B,262,100,,100
Members Control Accounts,test user163,Wing B,263,100,,100
Members Control Accounts,test user164,Wing B,264,100,,100
Members Control Accounts,test user165,Wing B,265,100,,100
Members Control Accounts,test user166,Wing B,266,100,,100
Members Control Accounts,test user167,Wing B,267,100,,100
Members Control Accounts,test user168,Wing B,268,100,,100
Members Control Accounts,test user169,Wing B,269,100,,100
Members Control Accounts,test user170,Wing B,270,100,,100
Members Control Accounts,test user171,Wing B,271,100,,100
Members Control Accounts,test user172,Wing B,272,100,,100
Members Control Accounts,test user173,Wing B,273,100,,100
Members Control Accounts,test user174,Wing B,274,100,,100
Members Control Accounts,test user175,Wing B,275,100,,100
Members Control Accounts,test user176,Wing B,276,100,,100
Members Control Accounts,test user177,Wing B,277,100,,100
Members Control Accounts,test user178,Wing B,278,100,,100
Members Control Accounts,test user179,Wing B,279,100,,100
Members Control Accounts,test user180,Wing B,280,100,,100
Members Control Accounts,test user181,Wing B,281,100,,100
Members Control Accounts,test user182,Wing B,282,100,,100
Members Control Accounts,test user183,Wing B,283,100,,100
Members Control Accounts,test user184,Wing B,284,100,,100
Members Control Accounts,test user185,Wing B,285,100,,100
Members Control Accounts,test user186,Wing B,286,100,,100
Members Control Accounts,test user187,Wing B,287,100,,100
Members Control Accounts,test user188,Wing B,288,100,,100
Members Control Accounts,test user189,Wing B,289,100,,100
Members Control Accounts,test user190,Wing B,290,100,,100
Members Control Accounts,test user191,Wing B,291,100,,100
Members Control Accounts,test user192,Wing B,292,100,,100
Members Control Accounts,test user193,Wing B,293,100,,100
Members Control Accounts,test user194,Wing B,294,100,,100
Members Control Accounts,test user195,Wing B,295,100,,100
Members Control Accounts,test user196,Wing B,296,100,,100
Members Control Accounts,test user197,Wing B,297,100,,100
Members Control Accounts,test user198,Wing B,298,100,,100
Members Control Accounts,test user199,Wing B,299,100,,100
Members Control Accounts,test user200,Wing B,300,,39600,
